Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,70.239998,71.019997,70.239998,70.900002,63.633118,12456400
2020-01-03,71.339996,71.370003,70.160004,70.330002,63.121540,17386900
2020-01-06,70.320000,71.360001,70.230003,70.870003,63.606186,20081900
2020-01-07,70.500000,70.519997,69.510002,70.290001,63.085632,17387700
2020-01-08,70.110001,70.290001,69.169998,69.230003,62.134274,15137700
2020-01-09,69.139999,69.900002,68.629997,69.760002,62.609959,14811800
2020-01-10,69.930000,69.959999,69.120003,69.139999,62.053501,11995600
2020-01-13,69.199997,69.870003,69.110001,69.800003,62.645859,9953900
2020-01-14,69.379997,69.580002,68.889999,69.199997,62.107353,16261000
2020-01-15,69.199997,69.589996,68.889999,69.089996,62.008621,11390300
2020-01-16,69.300003,69.580002,68.800003,68.820000,61.766293,13340300
2020-01-17,68.750000,69.080002,68.290001,68.559998,61.532944,18144100
2020-01-21,68.379997,68.419998,67.510002,67.580002,60.653397,17982600
2020-01-22,67.559998,67.699997,67.000000,67.190002,60.303364,17033100
2020-01-23,66.709999,66.930000,66.050003,66.769997,59.926407,19605900
2020-01-24,66.540001,66.680000,66.040001,66.320000,59.522533,18238600
2020-01-27,65.419998,65.730003,64.699997,64.739998,58.104473,21231000
2020-01-28,65.110001,65.199997,64.629997,64.650002,58.023705,19664700
2020-01-29,65.029999,65.129997,63.900002,64.110001,57.539047,14202800
2020-01-30,63.779999,64.879997,63.430000,64.790001,58.149353,18544700
2020-01-31,63.200001,63.200001,61.860001,62.119999,55.753010,34282900
2020-02-03,61.380001,61.419998,60.369999,60.730000,54.505478,27389300
2020-02-04,61.450001,61.910000,59.889999,59.970001,53.823380,31922100
2020-02-05,60.750000,62.930000,60.599998,62.730000,56.300495,32099200
2020-02-06,62.930000,63.009998,61.779999,61.880001,55.537621,16055400
2020-02-07,61.410000,61.660000,61.060001,61.470001,55.169636,15112500
2020-02-10,60.480000,60.520000,59.619999,59.959999,54.586987,20934500
2020-02-11,60.580002,60.889999,60.169998,60.529999,55.105907,14908700
2020-02-12,61.340000,61.529999,60.560001,61.270000,55.779594,17862100
2020-02-13,61.060001,61.419998,60.560001,60.930000,55.470062,16949400
2020-02-14,61.150002,61.160000,60.279999,60.650002,55.215157,10855300
2020-02-18,60.150002,60.389999,59.450001,59.880001,54.514156,18948500
2020-02-19,60.110001,60.619999,59.830002,60.340000,54.932930,12804900
2020-02-20,60.230000,60.540001,59.720001,59.860001,54.495953,14817200
2020-02-21,59.509998,59.509998,58.790001,59.130001,53.831364,20315700
2020-02-24,57.619999,57.799999,56.360001,56.360001,51.309582,32096600
2020-02-25,56.750000,56.750000,53.970001,54.200001,49.343143,36414500
2020-02-26,54.549999,54.820000,52.930000,53.009998,48.259773,29801000
2020-02-27,51.709999,52.439999,49.799999,49.820000,45.355629,48141300
2020-02-28,48.770000,51.439999,48.009998,51.439999,46.830463,62446700
2020-03-02,52.590000,53.889999,51.130001,53.880001,49.051819,38127600
2020-03-03,53.950001,54.150002,50.980000,51.299999,46.703011,50580700
2020-03-04,52.230000,52.480000,51.119999,52.419998,47.722645,24079600
2020-03-05,50.419998,50.700001,49.040001,50.110001,45.619648,40788200
2020-03-06,48.840000,49.009998,47.200001,47.689999,43.416500,55640500
2020-03-09,41.709999,44.570000,40.799999,41.860001,38.108929,72896300
2020-03-10,46.169998,46.259998,41.450001,43.410000,39.520031,60445900
2020-03-11,42.389999,43.480000,41.750000,41.980000,38.218178,51986100
2020-03-12,39.900002,40.650002,37.000000,37.180000,33.848305,65725300
2020-03-13,40.009998,40.139999,35.000000,38.119999,34.704063,79891500
2020-03-16,34.400002,37.880001,33.250000,34.490002,31.399355,48924700
2020-03-17,35.209999,37.380001,34.200001,36.810001,33.511456,41204400
2020-03-18,34.549999,36.709999,31.230000,33.119999,30.152117,54036400
2020-03-19,33.730000,34.900002,32.349998,34.430000,31.344727,49412400
2020-03-20,34.840000,35.180000,31.559999,32.740002,29.806170,76534600
